Sample.name,Species,Scientific name,Taxonomy,Age,Location,Num.indiv,Library.reads,Alphaflexiviridae,Alphatetraviridae,Alternaviridae,Amalgaviridae,Aspiviridae,Artoviridae,Ascoviridae,Atkinsviridae,Benyviridae,Baculoviridae,Barnaviridae,Betaflexiviridae,Blumeviridae,Botourmiaviridae,Bromoviridae,Carmotetraviridae,Caulimoviridae,Chuviridae,Crassvirales,Chrysoviridae,Closteroviridae,Cruliviridae,Curvulaviridae,Cystoviridae,Deltaflexiviridae,Dicistroviridae,Discoviridae,Duinviridae,Durnavirales,Endornaviridae,Fiersviridae,Fimoviridae,Fusariviridae,Gammaflexiviridae,Hafunaviridae,Hypoviridae,Iflaviridae,Inoviridae,Intestiviridae,Kitaviridae,Lispiviridae,Marnaviridae,Martellivirales,Metaviridae,Microviridae,Mimiviridae,Mitoviridae,Mymonaviridae,Narnaviridae,Nudiviridae,Partitiviridae,Phasmaviridae,Phycodnaviridae,Polycipiviridae,Potyviridae,Qinviridae,Schizomimiviridae,Secoviridae,Shortaselviridae,Sinhaliviridae,Sobelivirales,Soleiviridae,Solemoviridae,Solinviviridae,Solspiviridae,Steigviridae,Steitzviridae,Suoliviridae,Tolivirales,Tombusviridae,Tymovirales,Tymoviridae,Virgaviridae,Yadokariviridae,Yueviridae
BM1,Black robin,Petroica traversi,Passeriformes,Adult,Mangere,16,"73,434,233",1.03E-05,0,0,4.22E-07,0,0,0,1.23E-07,0,1.58E-06,0,3.95E-07,0,1.84E-06,5.30E-06,0,0,0,0,2.45E-07,2.72E-07,0,0,1.50E-07,4.49E-07,0.001726799,3.13E-07,0,0,5.47E-06,6.70E-06,0,1.77E-07,0,0,8.17E-08,2.83E-05,0,0,0,0,1.09E-07,0,1.91E-07,1.09E-07,3.40E-07,1.09E-05,4.09E-08,2.23E-05,0,3.26E-05,2.45E-07,0,3.27E-07,1.78E-05,0,0,3.13E-07,0,0,0,0,8.33E-06,1.91E-07,8.17E-08,0,1.09E-06,0,2.74E-06,1.43E-06,5.45E-08,3.40E-07,2.36E-06,0,1.91E-07
BM2,Black robin,Petroica traversi,Passeriformes,Pullus,Mangere,11,"56,965,566",5.79E-07,0,0,0,0,0,0,0,2.11E-07,2.98E-07,0,0,0,1.07E-06,1.05E-07,5.27E-08,0,0,0,1.40E-07,0,0,0,0,0,7.68E-05,1.76E-07,0,0,1.09E-06,4.04E-07,0,3.51E-07,0,0,5.44E-07,2.35E-06,0,0,0,0,0,6.67E-07,0,0,0,0.001084468,0,1.90E-05,0,2.77E-06,2.28E-07,0,0,0,0,0,3.49E-06,0,0,0,0,2.46E-07,0,0,0,0,0,1.09E-05,4.93E-06,3.40E-07,2.56E-06,2.94E-06,0,0
BR1,Black robin,Petroica traversi,Passeriformes,Adult,Rangatira,16,"68,023,354",8.23E-07,1.47E-06,0,1.62E-07,1.32E-07,0,0,2.21E-07,0,3.97E-07,3.97E-07,4.26E-07,5.59E-07,1.91E-05,2.94E-07,3.22E-06,0,0,0,8.82E-08,3.68E-07,1.03E-07,0,1.32E-07,2.03E-06,8.14E-05,9.41E-07,0,0,3.97E-07,1.98E-05,1.62E-07,1.32E-07,3.23E-07,0,0,6.87E-05,0,0,0,0,1.46E-06,0,5.00E-07,0,8.82E-07,1.18E-05,4.26E-07,2.09E-05,0,4.02E-05,1.03E-07,0,1.47E-07,1.37E-06,0,0,0,0,0,0,0,7.22E-06,3.53E-07,0,0,1.65E-06,0,3.49E-06,7.59E-06,1.88E-06,7.90E-05,2.48E-06,5.88E-08,0
BR2,Black robin,Petroica traversi,Passeriformes,Adult,Rangatira,16,"81,211,819",4.68E-07,0,0,1.72E-07,0,0,0,3.82E-07,0,0,6.77E-07,0,0,1.23E-05,0,2.60E-06,0,0,0,1.48E-07,8.25E-07,0,8.62E-08,9.85E-07,1.13E-06,0.000148304,6.65E-07,0,0,8.62E-08,1.05E-05,0,8.74E-07,0,0,2.34E-07,0.000105237,0,0,0,0,5.91E-06,0,6.16E-08,0,3.69E-08,3.08E-05,4.68E-07,2.34E-05,2.83E-07,0.000423564,8.74E-07,0,9.32E-06,0,0,0,3.24E-05,0,1.23E-08,1.49E-06,0,0.000302455,1.84E-06,1.48E-07,0,9.11E-07,0,2.68E-06,5.45E-05,8.61E-06,2.67E-06,8.25E-07,0,0
BR3,Black robin,Petroica traversi,Passeriformes,Chick,Rangatira,16,"65,623,260",3.14E-06,5.36E-06,0,6.54E-06,0,7.06E-06,0,0,0,2.59E-07,4.27E-07,1.68E-07,0,5.36E-05,5.79E-07,0.001758647,0,0,0,2.29E-06,3.20E-07,0,0,1.52E-07,5.49E-07,0.004141237,3.17E-06,0,0,3.50E-07,2.60E-05,0,0,3.05E-08,4.57E-08,0,0.001394198,0,0,0,4.57E-07,2.74E-07,0,0,0,5.18E-07,9.07E-05,1.37E-07,9.65E-05,0,0.000624433,0,0,3.62E-05,2.91E-06,0,0,7.68E-06,6.10E-08,3.20E-07,0,0,0.000339319,0.000198132,0,0,3.71E-06,0,3.20E-07,0.000209923,1.07E-07,1.83E-06,0.000437292,0,0
BR4,Black robin,Petroica traversi,Passeriformes,Chick,Rangatira,17,"89,292,921",7.06E-07,0,0,0,0,0,0,0,0,5.04E-07,2.50E-06,0,6.27E-07,5.82E-05,2.26E-06,9.19E-06,0,0,0,1.06E-06,0,0,0,1.76E-06,1.22E-06,0.000204849,5.24E-06,7.95E-07,0,1.05E-06,2.63E-05,0,3.72E-06,0,0,3.36E-07,8.29E-05,0,0,0,0,1.94E-06,0,4.93E-07,8.96E-07,6.72E-07,0.000104233,4.15E-06,0.000129468,0,2.17E-05,4.64E-06,7.95E-07,6.94E-07,1.05E-06,0,2.91E-07,6.38E-07,0,0,0,0,1.55E-05,3.99E-05,0,0,1.41E-06,0,1.84E-06,9.05E-05,8.95E-06,0.000121001,2.22E-06,0,2.24E-07
OM1,Fairy prion,Pachyptila turtur,Procellariiformes,Adult,Mangere,5,"65,980,333",3.18E-07,0,0,0,0,0,0,0,0,0,0,9.09E-08,0,4.24E-07,1.82E-07,0,0,4.24E-07,0,0,0,0,0,1.06E-07,0,7.27E-07,0,0,0,9.09E-08,6.06E-08,0,0,0,0,0,1.52E-07,0,0,0,0,0,0,0,0,0,4.24E-07,1.21E-07,2.38E-06,0,4.55E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.21E-07,0,0,3.03E-08,0,3.03E-08
OM2,Fairy prion,Pachyptila turtur,Procellariiformes,Chick,Mangere,1,"56,092,106",2.85E-07,0,0,0,0,0,0,0,0,0,0,2.14E-07,0,7.13E-07,4.46E-07,0,2.32E-07,0,0,0,0,0,0,0,4.99E-07,8.90E-06,0,0,0,2.85E-07,3.23E-06,0,0,0,0,0,3.57E-07,0,0,0,0,8.91E-08,0,0,0,0,1.28E-05,8.91E-08,6.24E-07,0,1.39E-06,1.23E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.53E-07,1.78E-07,3.39E-07,0,0,8.04E-06
OM3,Starling,Sturnus vulgaris,Passeriformes,Adult,Mangere,1,"71,422,281",0.000316027,8.34E-07,0,0,0,0,2.80E-08,0,0,0,0,1.08E-06,0,1.19E-05,0.000125143,0,0,0,0,2.80E-08,0,0,0,2.10E-07,0,6.83E-05,0,0,0,2.10E-07,7.56E-07,0,0,0,0,3.36E-07,3.04E-05,0,0,0,0,3.92E-07,0.000241699,0,0,8.40E-08,3.89E-06,0,5.23E-05,0,0.000115166,2.80E-08,0,0,1.32E-06,0,0,0.000493956,0,0,0,9.80E-08,0.004751672,0,5.60E-08,0,0,0,0,2.49E-05,8.40E-08,0,0,0,0
OM4,Starling,Sturnus vulgaris,Passeriformes,Chick,Mangere,4,"65,674,763",3.44E-06,0,0,0,1.87E-05,0,0,0,0,0,0,6.09E-08,4.57E-08,1.74E-06,4.86E-06,0,0,0,0,3.05E-07,1.52E-08,0,0,0,5.02E-07,0.000947526,0,5.39E-06,0,5.79E-07,1.93E-06,0,0,0,0,7.61E-08,1.16E-05,6.70E-07,0,0,0,7.61E-08,0,3.20E-07,3.05E-07,0,2.04E-06,3.05E-08,1.33E-05,0,0.000403615,3.05E-08,0,4.57E-08,7.61E-08,0,0,1.52E-07,0,0,0,0,3.44E-06,1.66E-06,0,6.09E-08,6.09E-08,0,0,0.000124541,1.10E-06,3.10E-07,6.09E-08,0,0
OM5,Sooty shearwater ,Ardenna grisea,Procellariiformes,Adult,Mangere,12,"49,013,711",0,0,0,0,0,0,0,0,0,0,0,0,0,1.43E-07,7.14E-07,0,0,0,0,0,0,0,0,0,0,2.56E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79E-06,0,2.10E-06,0,1.43E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.35E-06,0,0,0,0,0
OM6,Sooty shearwater ,Ardenna grisea,Procellariiformes,Adult,Mangere,11,"76,228,795",0,0,0,0,2.62E-08,0,0,0,0,5.25E-08,0,1.18E-07,0,7.87E-07,4.31E-05,0,0,0,0,9.18E-08,0,0,0,4.79E-06,0,9.45E-07,1.31E-07,0,0,2.62E-08,5.25E-08,0,7.87E-08,0,0,2.62E-08,5.25E-08,8.08E-06,0,0,0,0,0,0,1.31E-08,0,4.97E-06,0,4.07E-07,0,1.97E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.38E-07,2.49E-07,2.62E-08,6.56E-08,0,1.81E-06
OM7,Broad-billed prion,Pachyptila vittata,Procellariiformes,Adult,Mangere,3,"79,732,781",9.71E-06,0,0,0,0,0,0,0,0,7.53E-08,0,5.92E-07,1.13E-07,3.18E-05,1.76E-07,0,0,0,1.25E-07,5.02E-08,3.76E-08,0,0,4.89E-07,1.38E-07,3.43E-05,1.51E-07,8.78E-08,0,1.00E-07,0.003546163,0,3.76E-08,0,0,2.26E-07,1.13E-07,0.000423879,0,4.89E-07,0,3.81E-06,0,2.51E-08,5.50E-05,4.64E-07,7.85E-06,1.25E-07,5.09E-06,0,3.25E-06,5.02E-08,0,7.53E-08,0,0,0,1.94E-06,0,0,0,0,1.25E-07,5.77E-07,0,6.15E-07,1.18E-06,0,0,1.58E-06,1.00E-07,5.02E-08,8.78E-08,0,1.25E-07
OM8,Broad-billed prion,Pachyptila vittata,Procellariiformes,Chick,Mangere,12,"68,927,944",2.61E-07,3.77E-07,2.90E-08,0,0,7.54E-07,0,1.45E-08,0,2.90E-08,1.45E-08,3.05E-07,1.60E-07,3.02E-06,1.16E-07,0,0,0,0,7.25E-08,0,0,0,1.21E-05,3.37E-06,5.82E-05,1.74E-07,3.05E-07,0,2.90E-07,4.99E-06,0,2.47E-07,0,0,7.25E-08,1.09E-05,1.32E-05,0,0,0,1.90E-06,0,1.45E-07,2.40E-06,2.47E-07,9.59E-06,3.19E-07,6.41E-06,0,1.80E-06,5.80E-08,0,0,1.31E-07,0,0,0,0,0,0,0,2.90E-07,1.02E-07,0,7.25E-08,0,0,0,5.94E-06,7.25E-08,0,1.60E-07,0,1.02E-07
OM9,Grey-backed storm petrel,Garrodia nereis,Procellariiformes,Adult,Mangere,6,"55,283,513",0,0,0,0,0,7.24E-08,0,0,0,0,0,5.79E-07,0,2.15E-06,5.61E-07,0,0,0,0,0,0,0,0,0,0,1.57E-05,5.61E-07,0,0,2.35E-07,4.70E-07,0,1.99E-07,0,0,0,5.43E-08,9.04E-08,0,0,0,0,0,0,2.58E-07,1.09E-07,2.73E-06,5.43E-08,8.57E-06,0,1.27E-05,0,0,7.24E-08,1.50E-06,8.86E-07,0,0,0,0,0,0,0,0,0,0,5.43E-08,0,0,3.87E-06,1.27E-07,0,0,0,5.06E-07
OR1,Sooty shearwater ,Ardenna grisea,Procellariiformes,Adult,Rangatira,10,"64,910,496",0,0,0,0,0,0,0,0,0,0,0,0,0,6.16E-08,0,0,0,0,0,0,0,0,0,0,0,3.56E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03E-06,0,2.62E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.55E-07,3.08E-08,0,0,0,0
OR2,Broad-billed prion,Pachyptila vittata,Procellariiformes,Adult,Rangatira,9,"65,605,588",0,0,0,3.05E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.15E-08,0,0,0,0,0,0,0,0,0,0,3.05E-08,2.13E-07,0,0,0,0,0,0,4.57E-08,0,0,0,5.33E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.10E-08,0,0,0,0,0
OR3,Broad-billed prion,Pachyptila vittata,Procellariiformes,Adult,Rangatira,9,"64,653,735",5.29E-06,0,0,0,0,0,0,0,0,0,0,0,0,5.89E-06,3.56E-07,0,0,0,0,5.26E-07,0,0,0,0,0,8.94E-06,0,0,0,0,1.21E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,6.19E-08,0,6.11E-06,0,3.23E-06,0,6.34E-07,0,0,3.25E-07,0,0,0,2.01E-06,0,0,0,0,0,0,0,0,0,0,0,8.66E-07,0,0,0,0,0
SP1,Shore plover,Thinornis novaeseelandiae,Charadriiformes,Adult,Rangatira,16,"71,824,685",0,0,0,0,0,5.57E-08,0,0,0,0,0,0,0,0,0,0,0,0,1.11E-07,0,0,0,0,0,0,1.11E-07,0,0,3.76E-07,7.37E-06,5.57E-08,0,0,0,0,0,3.76E-07,0,1.25E-07,0,0,9.75E-08,6.96E-08,0,7.80E-07,1.95E-07,5.59E-05,0,6.87E-06,0,2.00E-06,0,0,1.80E-05,0,0,0,0,0,0,0,0,0,0,0,6.27E-07,0,1.81E-07,0,0,2.51E-07,0,0,0,0