Sample.name,Species,Scientific name,Taxonomy,Age,Location,Num.indiv,Disease.status,Library.reads,Picornavirales,Picornaviridae; Hepatovirus,Picornaviridae; Megrivirus,Picornaviridae; Passerivirus,Picornaviridae; Phopivirus,Astroviridae,Herpesviridae,Rhabdoviridae,Hepeviridae,Picobirnaviridae,Caliciviridae,Reoviridae; Rotavirus A,Reoviridae; Rotavirus D,Papillomaviridae,Hantaviridae,Arenaviridae,Hepadnaviridae,Adenoviridae,Flaviviridae,Total.virome
BM1,Black robin,Petroica traversi,Passeriformes; Petroicidae,Adult,Mangere,16,Wild/unknown,73434233,0,0,0,1.90102E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006819152
BM2,Black robin,Petroica traversi,Passeriformes; Petroicidae,Pullus,Mangere,11,Wild/unknown,56965566,1.40436E-07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.02179E-08,0.001488843
OM1,Fairy prion,Pachyptila turtur,Procellariiformes; Procellariidae,Adult,Mangere,5,Wild/unknown,65980333,0,0,0,0,0,0,0,1.67E-07,0,0,0,0,2.12184E-07,0,0,0,0,0,0,0.000127399
OM2,Fairy prion,Pachyptila turtur,Procellariiformes; Procellariidae,Chick,Mangere,1,Wild/unknown,56092106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013927956
OM3,Starling,Sturnus vulgaris,Passeriformes; Sturnidae,Adult,Mangere,1,Wild/unknown,71422281,0,0,0,4.00435E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00925664
OM4,Starling,Sturnus vulgaris,Passeriformes; Sturnidae,Chick,Mangere,4,Wild/unknown,65674763,1.67492E-07,0,0,0.036556731,0,3.65437E-07,0,0,0,0,2.13172E-07,7.55237E-06,0,0,0,0,0,0,0,0.033650349
OM5,Sooty shearwater ,Ardenna grisea,Procellariiformes; Procellariidae,Adult,Mangere,12,Wild/unknown,49013711,2.04025E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000379768
OM6,Sooty shearwater ,Ardenna grisea,Procellariiformes; Procellariidae,Adult,Mangere,11,Wild/unknown,76228795,0,0,0,0,0,0,0.001142499,0,0,0,0,0,0,2.62368E-07,1.44355E-06,2.62368E-08,2.88605E-07,2.62368E-08,0,0.001914057
OM7,Broad-billed prion,Pachyptila vittata,Procellariiformes; Procellariidae,Adult,Mangere,3,Wild/unknown,79732781,3.53681E-06,0,0,0,0,1.53011E-06,0,0,0,0,0,0,1.32736E-05,0,0,0,0,0,0,0.006023859
OM8,Broad-billed prion,Pachyptila vittata,Procellariiformes; Procellariidae,Chick,Mangere,12,Wild/unknown,68927944,0,2.20448E-06,1.2912E-06,0,3.14386E-07,1.30571E-06,0,0,0,0,2.46634E-07,0,5.65808E-07,0,0,0,0,0,0,0.002798774
OM9,Grey-backed storm petrel,Garrodia nereis,Procellariiformes; Oceanitidae,Adult,Mangere,6,Wild/unknown,55283513,0,0,0,2.04582E-05,0,0,0,0,0,0,0,0,0,2.37597E-05,0,0,9.94872E-07,0,1.1884E-05,0.007702419
BR1,Black robin,Petroica traversi,Passeriformes; Petroicidae,Adult,Rangatira,16,Wild/unknown,68023354,0,4.41025E-07,0,0,0,0,0,0,5.88033E-08,0,0,0,0,0,0,0,0,0,3.96923E-07,0.00254066
BR2,Black robin,Petroica traversi,Passeriformes; Petroicidae,Adult,Rangatira,16,Wild/unknown,81211819,3.08576E-07,0,0,0,0,0,0,0,0,1.13284E-06,0,0,0,0,0,0,0,0,0,0.038021254
BR3,Black robin,Petroica traversi,Passeriformes; Petroicidae,Juvenile,Rangatira,16,Wild/unknown,65623260,0,1.0763E-06,0,0,0,0,0,5.63824E-07,0,0,0,0,0,0,0,0,0,0,3.0477E-07,0.114862188
BR4,Black robin,Petroica traversi,Passeriformes; Petroicidae,Juvenile,Rangatira,17,Wild/unknown,89292921,0,0,0,0,0,0,7.22342E-07,0,0,0,0,0,0,0,0,0,0,0,0,0.004192166
OR1,Sooty shearwater ,Ardenna grisea,Procellariiformes; Procellariidae,Adult,Rangatira,10,Wild/unknown,64910496,0,0,0,0,0,0,6.48324E-06,0,0,0,0,0,0,0,0,0,0,0,0,2.88026E-05
OR2,Broad-billed prion,Pachyptila vittata,Procellariiformes; Procellariidae,Adult,Rangatira,9,Wild/unknown,65605588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000239686
OR3,Broad-billed prion,Pachyptila vittata,Procellariiformes; Procellariidae,Adult,Rangatira,9,Wild/unknown,64653735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000189323
SP1,Shore plover,Thinornis novaeseelandiae,Charadriiformes; Charadriidae,Adult,Rangatira,16,Wild/unknown,71824685,0,0,0,0,0,0,2.78456E-08,0,0,0,0,0,0,0,0,0,0,0,0,0.000275879