Sample.name,Species,Scientific name,Taxonomy,Age,Location,Num.indiv,Disease.status,Library.reads,Picornaviridae,Astroviridae,Herpesviridae,Caliciviridae,Reoviridae,Papillomaviridae,Hepadnaviridae,Adenoviridae,Flaviviridae,Total.virome
BM1,Black robin,Petroica traversi,Passeriformes,Adult,Mangere,16,Wild/unknown,73434233,1.91E-07,0,0,0,0,0,0,0,0,0.006440228
BM2,Black robin,Petroica traversi,Passeriformes,Chick,Mangere,11,Wild/unknown,56965566,1.93E-06,0,0,0,0,0,0,0,7.02E-08,0.001488685
BR1_2,Black robin,Petroica traversi,Passeriformes,Adult,Rangatira,32,Wild/unknown,149235173,3.69E-07,0,0,0,0,0,0,0,1.81E-07,0.021847953
BR3_4,Black robin,Petroica traversi,Passeriformes,Chick,Rangatira,33,Wild/unknown,154916181,4.56E-07,0,4.16E-07,9.02E-07,0,0,0,0,1.29E-07,0.051009789
OM1,Fairy prion,Pachyptila turtur,Procellariiformes,Adult,Mangere,5,Wild/unknown,65980333,0,0,0,0,2.12E-07,0,0,0,0,0.000116342
OM2,Fairy prion,Pachyptila turtur,Procellariiformes,Chick,Mangere,1,Wild/unknown,56092106,0,0,0,0,0,0,0,0,0,0.012224737
OM3,Starling,Sturnus vulgaris,Passeriformes,Adult,Mangere,1,Wild/unknown,71422281,4.00E-06,0,0,0,0,2.66E-07,0,0,0,0.009249599
OM4,Starling,Sturnus vulgaris,Passeriformes,Chick,Mangere,4,Wild/unknown,65674763,0.036556904,3.65E-07,0,2.13E-07,7.55E-06,0,0,0,0,0.041558627
OM5_6,Sooty shearwater ,Ardenna grisea,Procellariiformes,Adult,Mangere,23,Wild/unknown,125242506,7.98E-09,0,0.000695381,0,0,1.60E-07,0.00E+00,1.60E-08,0,0.001183054
OM7,Broad-billed prion,Pachyptila vittata,Procellariiformes,Adult,Mangere,3,Wild/unknown,79732781,3.54E-06,1.53E-06,0,0,1.33E-05,0,0,0,0,0.004806941
OM8,Broad-billed prion,Pachyptila vittata,Procellariiformes,Chick,Mangere,12,Wild/unknown,68927944,3.82E-06,1.31E-06,0,2.47E-07,5.66E-07,0,0,0,0,0.002718478
OM9,Grey-backed storm petrel,Garrodia nereis,Procellariiformes,Adult,Mangere,6,Wild/unknown,55283513,2.46E-05,0,0,0,0,2.38E-05,9.95E-07,0,1.75E-05,0.007006604
OR1,Sooty shearwater ,Ardenna grisea,Procellariiformes,Adult,Rangatira,10,Wild/unknown,64910496,0,0,6.48E-06,0,0,0,0,0,0,2.88E-05
OR2_3,Broad-billed prion,Pachyptila vittata,Procellariiformes,Adult,Rangatira,18,Wild/unknown,130259323,0,0,0,0,0,0,0,7.68E-09,0,0.000204776
SP1,Shore plover,Thinornis novaeseelandiae,Charadriiformes,Adult,Rangatira,16,Wild/unknown,71824685,2.49E-06,0,2.78E-08,0,0,0,0,0,0,0.000519595