Library,Species,Scientific name,Taxonomy,Age,Location,Individuals,Reads,Adenoviridae,Astroviridae,Caliciviridae,Flaviviridae,Hepadnaviridae,Herpesviridae,Papillomaviridae,Picornaviridae,Reoviridae
BM1,Black robin,Petroica traversi,Passeriformes; Petroicidae,Adult,Mangere,16,"73,434,233",0,0,0,0,0,0,0,14,0
BM2,Black robin,Petroica traversi,Passeriformes; Petroicidae,Pullus,Mangere,11,"56,965,566",0,0,0,4,0,0,0,110,0
BR1_BR2,Black robin,Petroica traversi,Passeriformes; Petroicidae,Adult,Rangatira,16_16,"68023354_81,211,819",0,0,0,27,0,0,0,55,0
BR3_BR4,Black robin,Petroica traversi,Passeriformes; Petroicidae,Juvenile,Rangatira,16_17,"65623260_89,292,921",0,0,59.17,20,0,65,0,70.63,0
OM1,Fairy prion,Pachyptila turtur,Procellariiformes; Procellariidae,Adult,Mangere,5,"65,980,333",0,0,0,0,0,0,0,0,14
OM3,Starling,Sturnus vulgaris,Passeriformes; Sturnidae,Adult,Mangere,1,"71,422,281",0,0,0,0,0,0,19,286,0
OM4,Starling,Sturnus vulgaris,Passeriformes; Sturnidae,Chick,Mangere,4,"65,674,763",0,24,14,0,0,0,0,"2,400,866",496
OM5_OM6,Sooty shearwater ,Ardenna grisea,Procellariiformes; Procellariidae,Adult,Mangere,12_11,"49,013,711_76228795",2,0,0,0,0,87091,20,1,0
OM7,Broad-billed prion,Pachyptila vittata,Procellariiformes; Procellariidae,Adult,Mangere,3,"79,732,781",0,122,0,0,0,0,0,282,1058
OM8,Broad-billed prion,Pachyptila vittata,Procellariiformes; Procellariidae,Chick,Mangere,12,"68,927,944",0,90,17,0,0,0,0,263,39
OM9,Grey-backed storm petrel,Garrodia nereis,Procellariiformes; Oceanitidae,Adult,Mangere,6,"55,283,513",0,0,0,969.98,55,0,1314,1359.5,0
OR1,Sooty shearwater ,Ardenna grisea,Procellariiformes; Procellariidae,Adult,Rangatira,10,"64,910,496",0,0,0,0,0,421,0,0,0
OR2_3,Broad-billed prion,Pachyptila vittata,Procellariiformes,Adult,Rangatira,18,130259323,1,0,0,0,0,0,0,0,0.00E+00
SP1,Shore plover,Thinornis novaeseelandiae,Charadriiformes; Charadriidae,Adult,Rangatira,16,"71,824,685",0,0,0,0,0,2,0,179,0